dataset,class,k_shot,seed,R_MAP_0,R_LAP_0,R_MAP_eps,R_LAP_eps,margin_MAP_q10,margin_MAP_median,margin_MAP_q90,margin_MAP_mean,margin_MAP_std,margin_LAP_q10,margin_LAP_median,margin_LAP_q90,margin_LAP_mean,margin_LAP_std,margin_discrepancy_mean,margin_discrepancy_median,margin_discrepancy_std,margin_discrepancy_max,disagreement_rate,margin_correlation,cos_normal_MAP,cos_normal_LAP,cos_MAP_LAP,cos_normal_combined,dist_normal_MAP,dist_normal_LAP,dist_MAP_LAP,dist_normal_combined,fusion_auroc,fusion_p_auroc,semantic_auroc,memory_auroc,delta_fusion,delta_memory,margin_separation,anchor_cosine_sim
mvtec,mvtec-bottle,2,111,1.0,1.0,1.0,1.0,-0.066650390625,-0.0559,-0.045166015625,-0.0559,0.01343,-0.057421875,-0.05273,-0.048046875,-0.05273,0.00586,0.00757,0.00757,0.003174,0.01074,0.0,1.0,0.97705078125,0.9560546875,0.9521484375,0.98046875,0.215087890625,0.2958984375,0.310302734375,0.19677734375,100.0,98.59,96.87,99.76,3.1299999999999955,2.8900000000000006,0.0559,0.9521484375
mvtec,mvtec-cable,2,111,0.0,1.0,0.0,1.0,0.061865234375,0.06226,0.062646484375,0.06226,0.0004883,-0.019775390625,-0.01294,-0.006103515625,-0.01294,0.008545,0.0752,0.0752,0.00806,0.08325,1.0,1.0,0.97705078125,0.9697265625,0.95361328125,0.9833984375,0.21630859375,0.246826171875,0.3046875,0.182861328125,92.65,96.6,83.18,89.17,9.469999999999999,5.989999999999995,0.06226,0.95361328125
mvtec,mvtec-capsule,2,111,1.0,0.0,1.0,0.0,-0.17333984375,-0.1636,-0.15380859375,-0.1636,0.01221,0.0796875,0.0801,0.08046875,0.0801,0.0004883,0.2437,0.2437,0.01172,0.2554,1.0,1.0,0.97216796875,0.978515625,0.9609375,0.98046875,0.236328125,0.20849609375,0.27978515625,0.19775390625,68.93,93.21,68.99,61.79,-0.05999999999998806,-7.199999999999996,0.1636,0.9609375
mvtec,mvtec-carpet,2,111,1.0,0.0,1.0,0.0,-0.10439453125,-0.10205,-0.09970703125,-0.10205,0.00293,0.22392578125,0.2251,0.22626953125,0.2251,0.001465,0.3271,0.3271,0.004395,0.3315,1.0,-1.0,0.97314453125,0.9423828125,0.90380859375,0.982421875,0.2327880859375,0.341064453125,0.438720703125,0.18701171875,100.0,99.36,99.96,99.88,0.04000000000000625,-0.0799999999999983,0.10205,0.90380859375
mvtec,mvtec-grid,2,111,1.0,0.0,1.0,0.0,-0.120458984375,-0.11206,-0.103662109375,-0.11206,0.0105,0.141357421875,0.1423,0.143310546875,0.1423,0.001221,0.2544,0.2544,0.01172,0.266,1.0,-1.0,0.9619140625,0.97119140625,0.94189453125,0.97412109375,0.27490234375,0.23779296875,0.3408203125,0.2261962890625,98.25,97.97,98.66,95.49,-0.4099999999999966,-3.1700000000000017,0.11206,0.94189453125
mvtec,mvtec-hazelnut,2,111,1.0,0.0,1.0,0.5,-0.168798828125,-0.1663,-0.163720703125,-0.1663,0.003174,0.03798828125,0.0454,0.05283203125,0.0454,0.00928,0.2117,0.2117,0.006104,0.2178,1.0,1.0,0.9755859375,0.953125,0.93896484375,0.98095703125,0.222900390625,0.3046875,0.34912109375,0.1943359375,99.79,98.78,92.77,99.82,7.02000000000001,7.049999999999997,0.1663,0.93896484375
mvtec,mvtec-leather,2,111,1.0,0.0,1.0,0.0,-0.068017578125,-0.0569,-0.045751953125,-0.0569,0.013916,0.08759765625,0.0923,0.09697265625,0.0923,0.00586,0.1492,0.1492,0.00806,0.1572,1.0,1.0,0.97705078125,0.95849609375,0.93310546875,0.984375,0.214599609375,0.28955078125,0.365966796875,0.176025390625,100.0,99.45,100.0,99.8,0.0,-0.20000000000000284,0.0569,0.93310546875
mvtec,mvtec-metal_nut,2,111,1.0,0.0,1.0,0.0,-0.16123046875,-0.1499,-0.13857421875,-0.1499,0.01416,0.078662109375,0.07886,0.079052734375,0.07886,0.0002441,0.2288,0.2288,0.013916,0.2427,1.0,1.0,0.970703125,0.97998046875,0.9482421875,0.98291015625,0.2425537109375,0.202880859375,0.322509765625,0.1866455078125,99.02,88.78,90.71,98.78,8.310000000000002,8.070000000000007,0.1499,0.9482421875
mvtec,mvtec-pill,2,111,1.0,0.0,1.0,0.0,-0.1697265625,-0.1611,-0.1525390625,-0.1611,0.01074,0.116162109375,0.1257,0.135302734375,0.1257,0.01196,0.2869,0.2869,0.001221,0.288,1.0,1.0,0.966796875,0.94189453125,0.92333984375,0.97412109375,0.25927734375,0.342529296875,0.392578125,0.2281494140625,94.11,95.31,85.99,93.37,8.120000000000005,7.38000000000001,0.1611,0.92333984375
mvtec,mvtec-screw,2,111,1.0,0.0,1.0,0.0,-0.06142578125,-0.06104,-0.06064453125,-0.06104,0.0004883,0.220263671875,0.2205,0.220654296875,0.2205,0.0002441,0.2815,0.2815,0.0007324,0.2822,1.0,-1.0,0.962890625,0.9736328125,0.95068359375,0.9755859375,0.270751953125,0.2276611328125,0.311767578125,0.2200927734375,54.33,91.95,58.6,54.09,-4.270000000000003,-4.509999999999998,0.06104,0.95068359375
mvtec,mvtec-tile,2,111,1.0,0.0,1.0,1.0,-0.22294921875,-0.2202,-0.21748046875,-0.2202,0.003418,0.03271484375,0.03662,0.04052734375,0.03662,0.004883,0.2568,0.2568,0.001465,0.2583,1.0,1.0,0.9677734375,0.9736328125,0.94677734375,0.97900390625,0.253173828125,0.2301025390625,0.325927734375,0.20556640625,100.0,96.66,100.0,98.56,0.0,-1.4399999999999977,0.2202,0.94677734375
mvtec,mvtec-toothbrush,2,111,1.0,0.5,1.0,1.0,-0.099072265625,-0.0969,-0.094775390625,-0.0969,0.002686,0.000732421875,0.005615,0.010498046875,0.005615,0.006104,0.10254,0.10254,0.003418,0.10596,0.5,1.0,0.9755859375,0.9755859375,0.95947265625,0.98388671875,0.218994140625,0.2191162109375,0.284912109375,0.177734375,93.89,98.32,66.81,94.44,27.08,27.629999999999995,0.0969,0.95947265625
mvtec,mvtec-transistor,2,111,1.0,0.0,1.0,0.0,-0.260693359375,-0.2507,-0.240771484375,-0.2507,0.01245,0.15966796875,0.1655,0.17138671875,0.1655,0.007324,0.4163,0.4163,0.01978,0.436,1.0,-1.0,0.962890625,0.97509765625,0.9453125,0.97607421875,0.272216796875,0.2237548828125,0.3310546875,0.2178955078125,81.83,89.96,81.48,67.12,0.3499999999999943,-14.36,0.2507,0.9453125
mvtec,mvtec-wood,2,111,1.0,0.0,1.0,0.0,-0.146484375,-0.1426,-0.138671875,-0.1426,0.004883,0.0810546875,0.0869,0.0927734375,0.0869,0.007324,0.2295,0.2295,0.01221,0.2417,1.0,-1.0,0.96875,0.96337890625,0.94287109375,0.97802734375,0.2490234375,0.269775390625,0.33740234375,0.208740234375,99.39,95.33,99.39,98.07,0.0,-1.3200000000000074,0.1426,0.94287109375
mvtec,mvtec-zipper,2,111,1.0,0.0,1.0,0.0,-0.142431640625,-0.1399,-0.137353515625,-0.1399,0.003174,0.083056640625,0.08325,0.083447265625,0.08325,0.0002441,0.2231,0.2231,0.003418,0.2266,1.0,-1.0,0.97265625,0.97265625,0.94873046875,0.98095703125,0.2354736328125,0.2352294921875,0.32080078125,0.194580078125,95.88,90.59,94.68,92.2,1.1999999999999886,-2.480000000000004,0.1399,0.94873046875
visa,visa-candle,2,111,1.0,0.0,1.0,1.0,-0.09443359375,-0.09326,-0.09208984375,-0.09326,0.001465,0.029296875,0.0293,0.029296875,0.0293,0.0,0.12256,0.12256,0.001465,0.124,1.0,,0.96337890625,0.9638671875,0.93212890625,0.974609375,0.2685546875,0.267333984375,0.3662109375,0.222900390625,97.0,94.44,96.33,88.68,0.6700000000000017,-7.6499999999999915,0.09326,0.93212890625
visa,visa-capsules,2,111,1.0,0.0,1.0,1.0,-0.067626953125,-0.0647,-0.061767578125,-0.0647,0.003662,0.0326171875,0.03418,0.0357421875,0.03418,0.001953,0.0989,0.0989,0.005615,0.1045,1.0,-1.0,0.97998046875,0.958984375,0.95166015625,0.9833984375,0.2001953125,0.2861328125,0.3125,0.1802978515625,74.35,93.38,61.06,74.16,13.289999999999992,13.099999999999994,0.0647,0.95166015625
visa,visa-cashew,2,111,1.0,0.0,1.0,0.5,-0.181982421875,-0.1716,-0.161279296875,-0.1716,0.01294,0.047802734375,0.04956,0.051318359375,0.04956,0.002197,0.2212,0.2212,0.01514,0.2363,1.0,-1.0,0.97509765625,0.98046875,0.95849609375,0.9833984375,0.225341796875,0.1981201171875,0.289794921875,0.181884765625,93.94,97.47,93.7,84.73,0.23999999999999488,-8.969999999999999,0.1716,0.95849609375
visa,visa-chewinggum,2,111,1.0,0.0,1.0,0.0,-0.029931640625,-0.02661,-0.023291015625,-0.02661,0.00415,0.06083984375,0.0659,0.07099609375,0.0659,0.006348,0.0925,0.0925,0.002197,0.0947,1.0,1.0,0.978515625,0.974609375,0.96142578125,0.984375,0.2081298828125,0.2242431640625,0.275634765625,0.177001953125,94.71,99.04,92.77,92.43,1.9399999999999977,-0.3399999999999892,0.02661,0.96142578125
visa,visa-fryum,2,111,1.0,0.0,1.0,1.0,-0.0208740234375,-0.01746,-0.0140380859375,-0.01746,0.004272,0.0379638671875,0.0404,0.0428466796875,0.0404,0.00305,0.05786,0.05786,0.007324,0.0652,1.0,-1.0,0.9765625,0.98046875,0.966796875,0.98291015625,0.2169189453125,0.197021484375,0.25830078125,0.183349609375,88.04,94.39,87.85,84.05,0.19000000000001194,-3.799999999999997,0.01746,0.966796875
visa,visa-macaroni1,2,111,1.0,0.0,1.0,0.0,-0.131982421875,-0.12476,-0.117529296875,-0.12476,0.00903,0.10068359375,0.103,0.10537109375,0.103,0.00293,0.2278,0.2278,0.01196,0.2397,1.0,-1.0,0.97119140625,0.97802734375,0.96142578125,0.97998046875,0.23779296875,0.2103271484375,0.277099609375,0.1995849609375,77.0,0.0,74.61,76.7,2.3900000000000006,2.0900000000000034,0.12476,0.96142578125
visa,visa-macaroni2,2,111,1.0,0.0,1.0,0.0,-0.210009765625,-0.2083,-0.206494140625,-0.2083,0.002197,0.102685546875,0.10913,0.115576171875,0.10913,0.00806,0.3174,0.3174,0.010254,0.3276,1.0,-1.0,0.97119140625,0.97802734375,0.95947265625,0.97998046875,0.2418212890625,0.2088623046875,0.28515625,0.200927734375,68.89,0.0,64.01,66.98,4.8799999999999955,2.969999999999999,0.2083,0.95947265625
visa,visa-pcb1,2,111,1.0,1.0,1.0,1.0,-0.01513671875,-0.01318,-0.01123046875,-0.01318,0.002441,-0.027099609375,-0.02222,-0.017333984375,-0.02222,0.006104,0.00903,0.00903,0.003662,0.012695,0.0,1.0,0.98876953125,0.97705078125,0.97216796875,0.9912109375,0.147705078125,0.21240234375,0.2353515625,0.131591796875,94.72,0.0,90.87,92.25,3.8499999999999943,1.3799999999999955,0.01318,0.97216796875
visa,visa-pcb2,2,111,1.0,0.0,1.0,0.0,-0.01162109375,-0.007324,-0.0030273437499999,-0.007324,0.00537,0.0802734375,0.08887,0.0974609375,0.08887,0.01074,0.0962,0.0962,0.00537,0.10156,1.0,1.0,0.9833984375,0.98681640625,0.974609375,0.9892578125,0.1795654296875,0.1627197265625,0.22509765625,0.1461181640625,79.79,0.0,63.98,78.02,15.81000000000001,14.04,0.007324,0.974609375
visa,visa-pcb3,2,111,0.0,0.0,1.0,0.0,0.01240234375,0.01709,0.02177734375,0.01709,0.00586,0.06328125,0.0664,0.06953125,0.0664,0.003906,0.04932,0.04932,0.009766,0.05908,0.0,-1.0,0.98583984375,0.95849609375,0.9453125,0.9892578125,0.1663818359375,0.288330078125,0.33056640625,0.1455078125,74.21,0.0,71.77,70.98,2.4399999999999977,-0.789999999999992,0.01709,0.9453125
visa,visa-pcb4,2,111,1.0,0.0,1.0,0.0,-0.0328125,-0.03125,-0.0296875,-0.03125,0.001953,0.07265625,0.0742,0.07578125,0.0742,0.001953,0.10547,0.10547,0.003906,0.1094,1.0,-1.0,0.9833984375,0.97509765625,0.96630859375,0.9873046875,0.1798095703125,0.2232666015625,0.25732421875,0.158447265625,89.12,0.0,88.58,81.65,0.5400000000000063,-6.929999999999993,0.03125,0.96630859375
visa,visa-pipe_fryum,2,111,1.0,0.0,1.0,0.5,-0.1108642578125,-0.1061,-0.1012939453125,-0.1061,0.00598,0.04521484375,0.0503,0.05537109375,0.0503,0.006348,0.1564,0.1564,0.01233,0.1687,1.0,-1.0,0.9736328125,0.98193359375,0.96826171875,0.98095703125,0.2283935546875,0.19140625,0.252685546875,0.194091796875,99.21,0.0,76.62,99.22,22.58999999999999,22.599999999999994,0.1061,0.96826171875
